Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Milstone Peated,8.19,0.58,3,70,SingleMalt-like,J,J,Netherlands,Malt,data/images/Milstone_Peated_0.jpg,data/images/Milstone_Peated_1.jpg,data/images/Milstone_Peated_2.jpg
St George's Chapter 9 (peated),8.17,0.52,5,70,SingleMalt-like,I,I,England,Malt,data/images/St_George's_Chapter_9_(peated)_0.jpg,data/images/St_George's_Chapter_9_(peated)_1.jpg,data/images/St_George's_Chapter_9_(peated)_2.jpg
Sullivans Cove Bourbon Cask Strength,8.55,0.72,7,125,SingleMalt-like,EF,F,Tasmania,Malt,data/images/Sullivans_Cove_Bourbon_Cask_Strength_0.jpg,data/images/Sullivans_Cove_Bourbon_Cask_Strength_1.jpg,data/images/Sullivans_Cove_Bourbon_Cask_Strength_2.jpg
St George's Chapter 6 (unpeated),8.23,0.46,10,70,SingleMalt-like,GH,G,England,Malt,data/images/St_George's_Chapter_6_(unpeated)_0.jpg,data/images/St_George's_Chapter_6_(unpeated)_1.jpg,data/images/St_George's_Chapter_6_(unpeated)_2.jpg
Penderyn Legend,7.8,0.76,10,70,SingleMalt-like,EF,F,Wales,Malt,data/images/Penderyn_Legend_0.jpg,data/images/Penderyn_Legend_1.jpg,data/images/Penderyn_Legend_2.jpg
Santis Edition Säntis,7.49,0.86,7,125,SingleMalt-like,EF,F,Switzerland,Malt,data/images/Santis_Edition_Säntis_0.jpg,data/images/Santis_Edition_Säntis_1.jpg,data/images/Santis_Edition_Säntis_2.jpg
Teerenpeli 10yo,8.22,0.44,6,300,SingleMalt-like,GH,H,Finland,Malt,data/images/Teerenpeli_10yo_0.jpg,data/images/Teerenpeli_10yo_1.jpg,data/images/Teerenpeli_10yo_2.jpg
Santis Cask Strength Peated,6.47,1.89,6,125,SingleMalt-like,J,J,Switzerland,Malt,data/images/Santis_Cask_Strength_Peated_0.jpg,data/images/Santis_Cask_Strength_Peated_1.jpg,data/images/Santis_Cask_Strength_Peated_2.jpg
Santis Edition Dreifaltigkeit,7.12,1.84,12,125,SingleMalt-like,J,J,Switzerland,Malt,data/images/Santis_Edition_Dreifaltigkeit_0.jpg,data/images/Santis_Edition_Dreifaltigkeit_1.jpg,data/images/Santis_Edition_Dreifaltigkeit_2.jpg
Kavalan Solist Peaty Cask,9.09,0.13,7,300,SingleMalt-like,J,J,Taiwan,Malt,data/images/Kavalan_Solist_Peaty_Cask_0.jpg,data/images/Kavalan_Solist_Peaty_Cask_1.jpg,data/images/Kavalan_Solist_Peaty_Cask_2.jpg
Penderyn Celt,8.27,0.77,7,70,SingleMalt-like,I,I,Wales,Malt,data/images/Penderyn_Celt_0.jpg,data/images/Penderyn_Celt_1.jpg,data/images/Penderyn_Celt_2.jpg
Gouden Carolus Single Malt,8.29,0.34,5,125,SingleMalt-like,EF,E,Belgium,Malt,data/images/Gouden_Carolus_Single_Malt_0.jpg,data/images/Gouden_Carolus_Single_Malt_1.jpg,data/images/Gouden_Carolus_Single_Malt_2.jpg
Sullivans Cove French Oak,8.65,0.31,8,300,SingleMalt-like,ABC,C,Tasmania,Malt,data/images/Sullivans_Cove_French_Oak_0.jpg,data/images/Sullivans_Cove_French_Oak_1.jpg,data/images/Sullivans_Cove_French_Oak_2.jpg
Penderyn Myth,8.27,0.38,7,70,SingleMalt-like,GH,G,Wales,Malt,data/images/Penderyn_Myth_0.jpg,data/images/Penderyn_Myth_1.jpg,data/images/Penderyn_Myth_2.jpg
Penderyn Sherrywood,7.9,0.63,12,125,SingleMalt-like,ABC,B,Wales,Malt,data/images/Penderyn_Sherrywood_0.jpg,data/images/Penderyn_Sherrywood_1.jpg,data/images/Penderyn_Sherrywood_2.jpg
Penderyn Madeira,7.99,0.95,15,125,SingleMalt-like,ABC,B,Wales,Malt,data/images/Penderyn_Madeira_0.jpg,data/images/Penderyn_Madeira_1.jpg,data/images/Penderyn_Madeira_2.jpg
Stalk & Barrel Single Malt (All Casks),8.21,0.44,14,70,SingleMalt-like,EF,F,Canada,Malt,data/images/Stalk_&_Barrel_Single_Malt_(All_Casks)_0.jpg,data/images/Stalk_&_Barrel_Single_Malt_(All_Casks)_1.jpg,data/images/Stalk_&_Barrel_Single_Malt_(All_Casks)_2.jpg
Tyrconnell Single Malt Irish Whiskey,8.16,0.47,19,50,SingleMalt-like,GH,H,Ireland,Malt,data/images/Tyrconnell_Single_Malt_Irish_Whiskey_0.jpg,data/images/Tyrconnell_Single_Malt_Irish_Whiskey_1.jpg,data/images/Tyrconnell_Single_Malt_Irish_Whiskey_2.jpg
Kavalan Solist Rum Cask,9.08,0.36,3,300,SingleMalt-like,GH,G,Taiwan,Malt,data/images/Kavalan_Solist_Rum_Cask_0.jpg,data/images/Kavalan_Solist_Rum_Cask_1.jpg,data/images/Kavalan_Solist_Rum_Cask_2.jpg
Kavalan Solist PX Cask,9.03,0.51,8,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_PX_Cask_0.jpg,data/images/Kavalan_Solist_PX_Cask_1.jpg,data/images/Kavalan_Solist_PX_Cask_2.jpg
Mackmyra The Swedish Whisky (Brukswhisky),8.39,0.58,14,50,SingleMalt-like,GH,H,Sweden,Malt,data/images/Mackmyra_The_Swedish_Whisky_(Brukswhisky)_0.jpg,data/images/Mackmyra_The_Swedish_Whisky_(Brukswhisky)_1.jpg,data/images/Mackmyra_The_Swedish_Whisky_(Brukswhisky)_2.jpg
Kavalan Solist Vinho Barrique,9.05,0.21,23,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_Vinho_Barrique_0.jpg,data/images/Kavalan_Solist_Vinho_Barrique_1.jpg,data/images/Kavalan_Solist_Vinho_Barrique_2.jpg
Kavalan Sherry Oak,8.5,0.51,11,300,SingleMalt-like,ABC,B,Taiwan,Malt,data/images/Kavalan_Sherry_Oak_0.jpg,data/images/Kavalan_Sherry_Oak_1.jpg,data/images/Kavalan_Sherry_Oak_2.jpg
Westland Sherry Wood,8.45,0.43,20,125,SingleMalt-like,ABC,B,USA,Malt,data/images/Westland_Sherry_Wood_0.jpg,data/images/Westland_Sherry_Wood_1.jpg,data/images/Westland_Sherry_Wood_2.jpg
Kavalan Solist Amontillado Cask,9.01,0.23,8,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_Amontillado_Cask_0.jpg,data/images/Kavalan_Solist_Amontillado_Cask_1.jpg,data/images/Kavalan_Solist_Amontillado_Cask_2.jpg
Kavalan Solist Oloroso Sherry Cask,9.15,0.13,5,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_Oloroso_Sherry_Cask_0.jpg,data/images/Kavalan_Solist_Oloroso_Sherry_Cask_1.jpg,data/images/Kavalan_Solist_Oloroso_Sherry_Cask_2.jpg
Teerenpeli Suomi 100 Juhlaviski,8.42,0.71,4,125,SingleMalt-like,I,I,Finland,Malt,data/images/Teerenpeli_Suomi_100_Juhlaviski_0.jpg,data/images/Teerenpeli_Suomi_100_Juhlaviski_1.jpg,data/images/Teerenpeli_Suomi_100_Juhlaviski_2.jpg
Lohin McKinnon Single Malt,7.97,0.37,9,70,SingleMalt-like,GH,H,Canada,Malt,data/images/Lohin_McKinnon_Single_Malt_0.jpg,data/images/Lohin_McKinnon_Single_Malt_1.jpg,data/images/Lohin_McKinnon_Single_Malt_2.jpg
Kavalan Solist Fino Sherry Cask,8.83,0.51,16,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_Fino_Sherry_Cask_0.jpg,data/images/Kavalan_Solist_Fino_Sherry_Cask_1.jpg,data/images/Kavalan_Solist_Fino_Sherry_Cask_2.jpg
Kavalan Solist Sherry Cask,8.95,0.29,26,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Solist_Sherry_Cask_0.jpg,data/images/Kavalan_Solist_Sherry_Cask_1.jpg,data/images/Kavalan_Solist_Sherry_Cask_2.jpg
Kavalan Distillery Reserve Peaty Cask,8.9,0.38,7,300,SingleMalt-like,I,I,Taiwan,Malt,data/images/Kavalan_Distillery_Reserve_Peaty_Cask_0.jpg,data/images/Kavalan_Distillery_Reserve_Peaty_Cask_1.jpg,data/images/Kavalan_Distillery_Reserve_Peaty_Cask_2.jpg
Spirit of Hven Urania,8.55,0.5,3,300,SingleMalt-like,GH,H,Sweden,Malt,data/images/Spirit_of_Hven_Urania_0.jpg,data/images/Spirit_of_Hven_Urania_1.jpg,data/images/Spirit_of_Hven_Urania_2.jpg
Penderyn Peated,8.29,0.63,9,125,SingleMalt-like,I,I,Wales,Malt,data/images/Penderyn_Peated_0.jpg,data/images/Penderyn_Peated_1.jpg,data/images/Penderyn_Peated_2.jpg
Westland Garryana,8.58,0.36,12,300,SingleMalt-like,GH,G,USA,Malt,data/images/Westland_Garryana_0.jpg,data/images/Westland_Garryana_1.jpg,data/images/Westland_Garryana_2.jpg
Knappogue Castle Vintage,8.11,0.84,5,70,SingleMalt-like,GH,H,Ireland,Malt,data/images/Knappogue_Castle_Vintage_0.jpg,data/images/Knappogue_Castle_Vintage_1.jpg,data/images/Knappogue_Castle_Vintage_2.jpg
Loch Lomond NAS,7.69,0.43,14,30,SingleMalt-like,GH,H,Scotland,Malt,data/images/Loch_Lomond_NAS_0.jpg,data/images/Loch_Lomond_NAS_1.jpg,data/images/Loch_Lomond_NAS_2.jpg
The Quiet Man 8yo Single Malt,8.14,0.55,5,70,SingleMalt-like,GH,H,Ireland,Malt,data/images/The_Quiet_Man_8yo_Single_Malt_0.jpg,data/images/The_Quiet_Man_8yo_Single_Malt_1.jpg,data/images/The_Quiet_Man_8yo_Single_Malt_2.jpg
Nantou (Omar) Yushan Blended Malt,7.9,0.39,5,70,SingleMalt-like,GH,G,Taiwan,Malt,data/images/Nantou_(Omar)_Yushan_Blended_Malt_0.jpg,data/images/Nantou_(Omar)_Yushan_Blended_Malt_1.jpg,data/images/Nantou_(Omar)_Yushan_Blended_Malt_2.jpg
Amrut 100 Peated,8.88,0.34,7,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_100_Peated_0.jpg,data/images/Amrut_100_Peated_1.jpg,data/images/Amrut_100_Peated_2.jpg
Amrut Portpipe Peated Single Cask #2712 (2013),8.95,0.1,3,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2013)_0.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2013)_1.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2013)_2.jpg
Millstone 12yo Sherry Cask,8.76,0.51,12,125,SingleMalt-like,ABC,C,Netherlands,Malt,data/images/Millstone_12yo_Sherry_Cask_0.jpg,data/images/Millstone_12yo_Sherry_Cask_1.jpg,data/images/Millstone_12yo_Sherry_Cask_2.jpg
Amrut Portpipe Peated Single Cask #4668 (2017),9.04,0.24,3,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Portpipe_Peated_Single_Cask_#4668_(2017)_0.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#4668_(2017)_1.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#4668_(2017)_2.jpg
Amrut Peated Cask Strength,9.05,0.28,18,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Peated_Cask_Strength_0.jpg,data/images/Amrut_Peated_Cask_Strength_1.jpg,data/images/Amrut_Peated_Cask_Strength_2.jpg
Amrut Portpipe Peated Single Cask #2712 (2016),8.68,0.51,6,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2016)_0.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2016)_1.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2712_(2016)_2.jpg
Amrut Peated,8.67,0.27,16,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Peated_0.jpg,data/images/Amrut_Peated_1.jpg,data/images/Amrut_Peated_2.jpg
McClelland's Speyside Single Malt,6.95,0.82,7,50,SingleMalt-like,EF,F,Scotland,Malt,data/images/McClelland's_Speyside_Single_Malt_0.jpg,data/images/McClelland's_Speyside_Single_Malt_1.jpg,data/images/McClelland's_Speyside_Single_Malt_2.jpg
Glen Moray 12yo Chenin Blanc,7.82,0.83,6,50,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glen_Moray_12yo_Chenin_Blanc_0.jpg,data/images/Glen_Moray_12yo_Chenin_Blanc_1.jpg,data/images/Glen_Moray_12yo_Chenin_Blanc_2.jpg
Santis Edition Sigel,7.89,0.76,8,70,SingleMalt-like,EF,E,Switzerland,Malt,data/images/Santis_Edition_Sigel_0.jpg,data/images/Santis_Edition_Sigel_1.jpg,data/images/Santis_Edition_Sigel_2.jpg
Sullivans Cove Port Cask Strength,8.61,0.65,9,300,SingleMalt-like,EF,E,Tasmania,Malt,data/images/Sullivans_Cove_Port_Cask_Strength_0.jpg,data/images/Sullivans_Cove_Port_Cask_Strength_1.jpg,data/images/Sullivans_Cove_Port_Cask_Strength_2.jpg
Ichiro's Malt The Joker,9.22,0.19,4,300,SingleMalt-like,EF,F,Japan,Malt,data/images/Ichiro's_Malt_The_Joker_0.jpg,data/images/Ichiro's_Malt_The_Joker_1.jpg,data/images/Ichiro's_Malt_The_Joker_2.jpg
Amrut Portpipe Peated Single Cask (all casks),8.75,0.43,16,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Portpipe_Peated_Single_Cask_(all_casks)_0.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_(all_casks)_1.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_(all_casks)_2.jpg
Nikka From the Barrel,8.79,0.34,32,70,SingleMalt-like,EF,F,Japan,Blend,data/images/Nikka_From_the_Barrel_0.jpg,data/images/Nikka_From_the_Barrel_1.jpg,data/images/Nikka_From_the_Barrel_2.jpg
Millstone 8yo French Oak,7.94,0.57,4,125,SingleMalt-like,EF,E,Netherlands,Malt,data/images/Millstone_8yo_French_Oak_0.jpg,data/images/Millstone_8yo_French_Oak_1.jpg,data/images/Millstone_8yo_French_Oak_2.jpg
Glen Moray 10yo Chardonnay Cask,8.08,0.56,14,50,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glen_Moray_10yo_Chardonnay_Cask_0.jpg,data/images/Glen_Moray_10yo_Chardonnay_Cask_1.jpg,data/images/Glen_Moray_10yo_Chardonnay_Cask_2.jpg
Amrut Portpipe Peated Single Cask #2713 (2013),8.74,0.15,4,125,SingleMalt-like,J,J,India,Malt,data/images/Amrut_Portpipe_Peated_Single_Cask_#2713_(2013)_0.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2713_(2013)_1.jpg,data/images/Amrut_Portpipe_Peated_Single_Cask_#2713_(2013)_2.jpg
Sullivans Cove American Oak,8.54,0.39,7,300,SingleMalt-like,EF,E,Tasmania,Malt,data/images/Sullivans_Cove_American_Oak_0.jpg,data/images/Sullivans_Cove_American_Oak_1.jpg,data/images/Sullivans_Cove_American_Oak_2.jpg
Arran Malt Robert Burns Single Malt,8.15,0.6,11,50,SingleMalt-like,EF,F,Scotland,Malt,data/images/Arran_Malt_Robert_Burns_Single_Malt_0.jpg,data/images/Arran_Malt_Robert_Burns_Single_Malt_1.jpg,data/images/Arran_Malt_Robert_Burns_Single_Malt_2.jpg
McClelland's Lowland Single Malt,6.89,0.58,4,50,SingleMalt-like,GH,H,Scotland,Malt,data/images/McClelland's_Lowland_Single_Malt_0.jpg,data/images/McClelland's_Lowland_Single_Malt_1.jpg,data/images/McClelland's_Lowland_Single_Malt_2.jpg
Glenfiddich Winter Storm 21yo Experimental Series No. 3,8.74,0.36,10,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glenfiddich_Winter_Storm_21yo_Experimental_Series_No._3_0.jpg,data/images/Glenfiddich_Winter_Storm_21yo_Experimental_Series_No._3_1.jpg,data/images/Glenfiddich_Winter_Storm_21yo_Experimental_Series_No._3_2.jpg
Kavalan Brandy Oak,8.8,0.24,8,300,SingleMalt-like,ABC,A,Taiwan,Malt,data/images/Kavalan_Brandy_Oak_0.jpg,data/images/Kavalan_Brandy_Oak_1.jpg,data/images/Kavalan_Brandy_Oak_2.jpg
Tamnavulin 12yo,7.68,0.79,4,50,SingleMalt-like,GH,H,Scotland,Malt,data/images/Tamnavulin_12yo_0.jpg,data/images/Tamnavulin_12yo_1.jpg,data/images/Tamnavulin_12yo_2.jpg
Westland Peat Week,8.77,0.26,7,125,SingleMalt-like,I,I,USA,Malt,data/images/Westland_Peat_Week_0.jpg,data/images/Westland_Peat_Week_1.jpg,data/images/Westland_Peat_Week_2.jpg
Glenmorangie Ealanta,8.89,0.26,19,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glenmorangie_Ealanta_0.jpg,data/images/Glenmorangie_Ealanta_1.jpg,data/images/Glenmorangie_Ealanta_2.jpg
Paul John Bold,8.68,0.27,6,70,SingleMalt-like,I,I,India,Malt,data/images/Paul_John_Bold_0.jpg,data/images/Paul_John_Bold_1.jpg,data/images/Paul_John_Bold_2.jpg
Westland Peated,8.57,0.44,14,125,SingleMalt-like,I,I,USA,Malt,data/images/Westland_Peated_0.jpg,data/images/Westland_Peated_1.jpg,data/images/Westland_Peated_2.jpg
Paul John Edited,8.55,0.41,10,70,SingleMalt-like,I,I,India,Malt,data/images/Paul_John_Edited_0.jpg,data/images/Paul_John_Edited_1.jpg,data/images/Paul_John_Edited_2.jpg
Mackmyra Mack,7.83,0.54,3,70,SingleMalt-like,GH,H,Sweden,Malt,data/images/Mackmyra_Mack_0.jpg,data/images/Mackmyra_Mack_1.jpg,data/images/Mackmyra_Mack_2.jpg
Compass Box 3yo Deluxe,8.95,0.34,13,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Compass_Box_3yo_Deluxe_0.jpg,data/images/Compass_Box_3yo_Deluxe_1.jpg,data/images/Compass_Box_3yo_Deluxe_2.jpg
Bunnahabhain 40yo,9.12,0.38,6,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Bunnahabhain_40yo_0.jpg,data/images/Bunnahabhain_40yo_1.jpg,data/images/Bunnahabhain_40yo_2.jpg
Amrut PX Sherry Single Cask 2702,7.84,0.94,3,125,SingleMalt-like,ABC,B,India,Malt,data/images/Amrut_PX_Sherry_Single_Cask_2702_0.jpg,data/images/Amrut_PX_Sherry_Single_Cask_2702_1.jpg,data/images/Amrut_PX_Sherry_Single_Cask_2702_2.jpg
Auchentoshan American Oak,7.77,0.75,12,50,SingleMalt-like,GH,H,Scotland,Malt,data/images/Auchentoshan_American_Oak_0.jpg,data/images/Auchentoshan_American_Oak_1.jpg,data/images/Auchentoshan_American_Oak_2.jpg
Kavalan Distillery Reserve Rum Cask,8.81,0.28,3,300,SingleMalt-like,GH,G,Taiwan,Malt,data/images/Kavalan_Distillery_Reserve_Rum_Cask_0.jpg,data/images/Kavalan_Distillery_Reserve_Rum_Cask_1.jpg,data/images/Kavalan_Distillery_Reserve_Rum_Cask_2.jpg
High Coast (Box) The Festival 2016,8.69,0.03,3,300,SingleMalt-like,EF,F,Sweden,Malt,data/images/High_Coast_(Box)_The_Festival_2016_0.jpg,data/images/High_Coast_(Box)_The_Festival_2016_1.jpg,data/images/High_Coast_(Box)_The_Festival_2016_2.jpg
Craigellachie 14yo,8.38,0.28,6,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Craigellachie_14yo_0.jpg,data/images/Craigellachie_14yo_1.jpg,data/images/Craigellachie_14yo_2.jpg
Teeling Silver Reserve 21yo Sauternes Finish,8.88,0.36,10,300,SingleMalt-like,GH,H,Ireland,Malt,data/images/Teeling_Silver_Reserve_21yo_Sauternes_Finish_0.jpg,data/images/Teeling_Silver_Reserve_21yo_Sauternes_Finish_1.jpg,data/images/Teeling_Silver_Reserve_21yo_Sauternes_Finish_2.jpg
Sheep Dip Blended Malt,8.44,0.41,15,50,SingleMalt-like,GH,H,Scotland,Malt,data/images/Sheep_Dip_Blended_Malt_0.jpg,data/images/Sheep_Dip_Blended_Malt_1.jpg,data/images/Sheep_Dip_Blended_Malt_2.jpg
FEW Single Malt,8.42,0.55,6,125,SingleMalt-like,GH,G,USA,Malt,data/images/FEW_Single_Malt_0.jpg,data/images/FEW_Single_Malt_1.jpg,data/images/FEW_Single_Malt_2.jpg
Amrut Indian Single Malt,8.29,0.87,18,70,SingleMalt-like,GH,G,India,Malt,data/images/Amrut_Indian_Single_Malt_0.jpg,data/images/Amrut_Indian_Single_Malt_1.jpg,data/images/Amrut_Indian_Single_Malt_2.jpg
Glen Grant 10yo,8.23,0.5,10,50,SingleMalt-like,GH,H,Scotland,Malt,data/images/Glen_Grant_10yo_0.jpg,data/images/Glen_Grant_10yo_1.jpg,data/images/Glen_Grant_10yo_2.jpg
