Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)",9.58,0.25,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Ledaig 42yo Dusgadh,9.48,0.19,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",9.42,0.24,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 40yo,9.29,0.26,17,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Spectrum (Batch 1),9.21,0.25,14,$$$$$,SingleMalt-like,ABC,C,India,Malt
Glengoyne 25yo,9.2,0.28,22,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 25yo,9.18,0.18,19,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 40yo,9.16,0.44,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Tamdhu 30yo (MacPhail Collection 2009),9.16,0.19,3,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie TUN 1401 (all batches),9.15,0.31,19,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Oloroso Sherry Cask,9.15,0.13,5,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Aberlour A'Bunadh (Batch 33),9.13,0.15,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.13,0.1,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 30yo,9.13,0.41,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Laphroaig 25yo,9.12,0.28,23,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Nikka Single Cask Coffey Malt 12yo,9.12,0.48,9,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 40),9.11,0.15,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Yamazaki 18yo,9.11,0.27,23,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 49),9.09,0.2,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Redbreast 21yo,9.09,0.28,21,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Yamazaki Sherry Cask (all vintages),9.09,0.34,11,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt
Aberlour A'Bunadh (Batch 56),9.08,0.22,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich 21yo Cuvée 407 PX,9.08,0.17,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Compass Box Last Vatted Malt,9.08,0.16,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Greedy Angels (8yo and 10yo),9.07,0.2,13,$$$$$+,SingleMalt-like,ABC,C,India,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.07,0.19,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Spectrum (all batches),9.06,0.37,18,$$$$$,SingleMalt-like,ABC,C,India,Malt
Bowmore Springtide,9.06,0.68,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 16yo Odin,9.06,0.29,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 1),9.05,0.27,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Vinho Barrique,9.05,0.21,23,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Aberlour A'Bunadh (Batch 53),9.04,0.12,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 2),9.04,0.14,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Cask Strength,9.04,0.38,22,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 39),9.03,0.22,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 18yo,9.03,0.23,32,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Karuizawa 1990 Sherry Butt,9.03,0.3,4,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt
Kavalan Solist PX Cask,9.03,0.51,8,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.03,0.22,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Timorous Beastie 21yo Sherry Edition,9.03,0.21,3,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Amrut Spectrum 004 (Batch 2),9.02,0.4,14,$$$$$,SingleMalt-like,ABC,C,India,Malt
GlenDronach vintage 20yo Single Cask (all vintages),9.02,0.36,16,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Manzanilla Cask,9.02,0.21,10,$$$$$+,SingleMalt-like,ABC,C,Taiwan,Malt
Aberlour A'Bunadh (Batch 44),9.01,0.15,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 52),9.01,0.22,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Amontillado Cask,9.01,0.23,8,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Aberlour A'Bunadh (Batch 35),9.0,0.24,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
BenRiach 17yo Solstice Peated Port (both editions),9.0,0.28,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benromach 10yo Cask Strength (100 proof),9.0,0.16,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 17yo The Dark,9.0,0.39,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 21yo,9.0,0.24,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 45),8.99,0.22,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt 21st Anniversary Edition,8.99,0.13,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 18yo,8.99,0.21,24,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Laphroaig Cairdeas 2013 Port Wood,8.99,0.45,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Nikka Taketsuru 21yo,8.99,0.29,20,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Bladnoch 12yo Sherry Cask (Sheep label),8.98,0.21,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach vintage 19yo Single Cask (all vintages),8.98,0.33,19,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Timorous Beastie 40yo Cask Strength,8.98,0.3,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Amrut PX Sherry Single Cask 2696 (LCBO),8.97,0.27,7,$$$$$,SingleMalt-like,ABC,B,India,Malt
Highland Park 15yo Loki,8.97,0.29,18,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Kilchoman Port Cask Matured,8.97,0.21,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 36),8.96,0.45,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Portonova,8.96,0.28,24,$$$$,SingleMalt-like,ABC,C,India,Malt
Bowmore 15yo Laimrig,8.96,0.17,20,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills 21yo Single Malt,8.96,0.37,11,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Glenlivet Alpha,8.96,0.09,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 30),8.95,0.19,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 42),8.95,0.26,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
AnCnoc 1975,8.95,0.55,5,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
BenRiach 17yo Solstice 2nd Peated Port Finish,8.95,0.41,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Signet,8.95,0.35,28,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Hakushu Sherry Cask,8.95,0.5,7,$$$$$+,SingleMalt-like,ABC,B,Japan,Malt
Kavalan Solist Sherry Cask,8.95,0.29,26,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Macallan 10yo Sherry Oak Cask Strength,8.94,0.54,7,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 58),8.93,0.21,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Port Cask,8.93,0.31,19,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 34),8.92,0.32,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Madeira Cask Finish (Batch 1),8.92,0.16,6,$$$$,SingleMalt-like,ABC,C,India,Malt
Macallan 18yo Sherry Oak,8.92,0.31,25,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Tomatin 40yo,8.92,0.37,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (all batches),8.91,0.19,34,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie TUN 1509 (all batches),8.91,0.18,13,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach Cask Strength (batch 4),8.91,0.22,14,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
BenRiach 17yo Solstice 1st Peated Port Finish,8.9,0.22,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 35yo,8.9,0.65,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Bunnahabhain 25yo,8.9,0.31,21,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne 40yo,8.9,0.83,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet XXV 25yo,8.9,0.21,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 54),8.89,0.2,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Intermediate Sherry,8.89,0.46,26,$$$$,SingleMalt-like,ABC,B,India,Malt
Amrut Kadhambam,8.89,0.25,23,$$$$,SingleMalt-like,ABC,C,India,Malt
Glengoyne 21yo,8.89,0.21,23,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 21yo,8.89,0.37,18,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 12yo Cask Strength,8.89,0.29,26,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (batch 7),8.88,0.22,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Highland Park 16yo Thor,8.88,0.29,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Kilchoman PX Sherry Finish,8.88,0.19,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.87,0.09,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut PX Sherry Single Cask 3516 (SAQ),8.86,0.19,6,$$$$,SingleMalt-like,ABC,B,India,Malt
Compass Box This is Not a Luxury Whisky,8.86,0.46,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 3),8.86,0.26,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Laphroaig Cairdeas 2020 Port & Wine Casks,8.86,0.4,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 25yo Sherry Oak,8.86,0.45,9,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Reflexion,8.86,0.34,7,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.85,0.29,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Ben Nevis 10yo (post-2017),8.85,0.36,9,$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 17yo Renaissance Chapter 3,8.85,0.32,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 1998 Wine Cask Matured,8.85,0.23,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (all batches),8.85,0.16,25,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenrothes 25yo,8.85,0.47,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Kilchoman Loch Gorm,8.85,0.19,25,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Scallywag 13yo,8.85,0.08,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Smogen Sherry Project 1:2,8.85,0.2,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
White Oak Akashi 14yo,8.85,0.55,3,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 66),8.84,0.22,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
AnCnoc 22yo,8.84,0.31,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 18yo Latada,8.84,0.17,8,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 15yo Revival,8.84,0.27,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour 12yo Non-Chill-Filtered,8.83,0.22,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Balblair 1990 (all releases),8.83,0.23,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 14yo 2003 Pedro Ximenez Finish,8.83,0.56,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 12yo Sauternes Cask Finish,8.83,0.18,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 18yo Allardice,8.83,0.37,30,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 6),8.83,0.2,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet Nadurra 16yo,8.83,0.22,28,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
High Coast (Box) PX - Pedro Ximénez Finish,8.83,0.19,9,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Kavalan Solist Fino Sherry Cask,8.83,0.51,16,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Longrow Red 11yo Port Cask,8.83,0.38,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 12yo Pinot Noir Finish,8.83,0.3,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.82,0.71,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 59),8.82,0.22,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 61),8.82,0.21,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 69),8.82,0.06,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Companta,8.82,0.56,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Green Spot Chateau Leoville Barton,8.82,0.35,14,$$$$,SingleMalt-like,ABC,C,Ireland,Blend
Amrut PX Sherry Single Cask (all casks),8.81,0.46,17,$$$$,SingleMalt-like,ABC,A,India,Malt
Longmorn 15yo,8.81,0.41,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:4,8.81,0.27,5,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Aberlour A'Bunadh (Batch 60),8.8,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bowmore 25yo,8.8,0.48,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 18yo Tawny Port Finish,8.8,0.36,8,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet Nadurra Cask Strength (NAS),8.8,0.12,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Brandy Oak,8.8,0.24,8,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt
Royal Brackla 21yo,8.8,0.21,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Release 09 Special Finishes,8.8,0.4,6,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Aberlour A'Bunadh (Batch 50),8.79,0.36,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfiddich Snow Phoenix,8.79,0.38,13,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Teapot Dram (all batches),8.79,0.48,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenrothes Minister's Reserve,8.79,0.17,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Full Volume,8.79,0.22,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 48),8.78,0.51,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 65),8.78,0.23,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich Port Charlotte 2009 MC:01,8.78,0.28,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Deanston 2008 Bordeaux Red Wine Cask Matured,8.78,0.2,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 21yo Parliament,8.78,0.39,29,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Bacalta,8.78,0.32,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ledaig 18yo,8.78,0.58,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 11yo Australian Shiraz,8.78,0.47,10,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 15yo,8.78,0.23,25,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 15yo Renaissance Chapter 1,8.77,0.22,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Release 02 Special Finishes,8.77,0.51,5,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Balvenie 21yo Port Wood,8.76,0.37,26,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
High Coast (Box) Dalvve Sherry Influence,8.76,0.4,4,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Longrow Red 11yo Cabernet Sauvignon,8.76,0.45,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Millstone 12yo Sherry Cask,8.76,0.51,12,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt
Smogen Sherry Project 1:3,8.76,0.26,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Arran Malt Sassicaia Wine Cask Finish,8.75,0.19,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 25yo,8.75,0.28,23,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 18yo,8.74,0.28,15,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Amarone Cask Finish,8.74,0.29,18,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenfarclas 17yo,8.74,0.26,26,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Blue Spot 7yo Cask Strength,8.73,0.1,3,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Glenfarclas 105,8.73,0.36,33,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 15yo Fire,8.73,0.35,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Macallan Classic Cut (all editions),8.73,0.21,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 5),8.72,0.26,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne Cask Strength (batch 1),8.72,0.46,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne Cask Strength (batch 5),8.72,0.15,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Longmorn 16yo,8.72,0.32,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan Ruby,8.72,0.23,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Scallywag Cask Strength (all batches),8.72,0.08,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Special Finishes (all releases),8.72,0.15,7,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Aberlour A'Bunadh (Batch 57),8.71,0.43,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Valknut,8.71,0.23,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 11yo Manzanilla Cask Matured 2008,8.7,0.18,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 7),8.7,0.49,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Nectar d'Or,8.7,0.29,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 15yo,8.7,0.24,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Karuizawa Asama Vintages 1999-2000,8.7,0.52,9,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Mortlach 16yo (F&F),8.7,0.27,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:1,8.7,0.11,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Springbank 13yo Green,8.7,0.35,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 10yo Devil's Cask (all batches),8.69,0.39,26,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Deanston 10yo PX Finish,8.69,0.43,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenrothes Whisky Maker's Cut,8.69,0.31,7,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Jura Brooklyn,8.69,0.25,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Knappogue Castle 16yo Twin Wood,8.69,0.44,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Macallan Rare Cask (all batches),8.69,0.34,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Sienna,8.69,0.34,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip 1999 Amoroso Blended Malt,8.69,0.59,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Teerenpeli Distiller’s Choice KARHI,8.69,0.16,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt
Mortlach 15yo (Gordon & MacPhail),8.68,0.34,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Oban Distillers Edition (all vintages),8.68,0.29,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Release 15 Special Finishes,8.68,0.28,6,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Aberlour A'Bunadh (Batch 38),8.67,0.18,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Bengal Tiger PX Single Cask (Canada),8.67,0.25,6,$$$$,SingleMalt-like,ABC,C,India,Malt
Redbreast Lustau Edition,8.67,0.32,20,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Aberlour A'Bunadh (Batch 62),8.66,0.33,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Madeira Wine Cask,8.66,0.45,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (all batches),8.66,0.38,19,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie The Taghta,8.66,0.33,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin Cu Bocan 2005 Limited Edition,8.66,0.46,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 21yo Tawny Port Finish,8.65,0.27,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Compass Box The Story of the Spaniard,8.65,0.26,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 15yo Wine Cask Matured,8.65,0.25,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glencadam 14yo Oloroso Sherry Cask Finish,8.65,0.53,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 15yo Tawny Port Finish,8.65,0.51,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfarclas 21yo,8.65,0.28,19,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne Cask Strength (batch 2),8.65,0.41,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Ohishi Sherry Single Cask,8.65,0.43,8,$$$$,SingleMalt-like,ABC,C,Japan,Malt
Red Spot 15yo,8.65,0.36,10,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redbreast Mano a Lámh,8.65,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Sullivans Cove French Oak,8.65,0.31,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt
Tomatin 18yo,8.65,0.2,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ardbeg Galileo,8.64,0.58,20,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Ben Nevis 18yo The Maltman,8.64,0.34,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain Moine (all bottlings),8.64,0.54,16,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich 21yo Gran Reserva,8.64,0.39,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 14yo Burgundy Wood,8.64,0.64,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
